univ_name,year,median_oa_perc
"Universidade Federal de Santa
Maria",2007-01-01,0.029411764705882353
"Universidade Federal de Santa
Maria",2008-01-01,0.037037037037037035
"Universidade Federal de Santa
Maria",2009-01-01,0
"Universidade Federal de Santa
Maria",2010-01-01,0.03333333333333333
"Universidade Federal de Santa
Maria",2011-01-01,0.043478260869565216
"Universidade Federal de Santa
Maria",2012-01-01,0.043478260869565216
"Universidade Federal de Santa
Maria",2013-01-01,0.05263157894736842
"Universidade Federal de Santa
Maria",2014-01-01,0.07142857142857142
"Universidade Federal de Santa
Maria",2015-01-01,0.07894736842105263
"Universidade Federal de Santa
Maria",2016-01-01,0.1111111111111111
"Universidade Federal de Santa
Maria",2017-01-01,0.14634146341463414
Universidade Federal de Viçosa,2007-01-01,0
Universidade Federal de Viçosa,2008-01-01,0
Universidade Federal de Viçosa,2009-01-01,0.039607843137254906
Universidade Federal de Viçosa,2010-01-01,0.045454545454545456
Universidade Federal de Viçosa,2011-01-01,0.05
Universidade Federal de Viçosa,2012-01-01,0.058823529411764705
Universidade Federal de Viçosa,2013-01-01,0.06666666666666667
Universidade Federal de Viçosa,2014-01-01,0.08333333333333333
Universidade Federal de Viçosa,2015-01-01,0.11566332218506131
Universidade Federal de Viçosa,2016-01-01,0.1274661508704062
Universidade Federal de Viçosa,2017-01-01,0.16666666666666666
Universidade Federal do ABC,2007-01-01,0.05
Universidade Federal do ABC,2008-01-01,0.027402402402402402
Universidade Federal do ABC,2009-01-01,0.058823529411764705
Universidade Federal do ABC,2010-01-01,0.06009615384615385
Universidade Federal do ABC,2011-01-01,0.08333333333333333
Universidade Federal do ABC,2012-01-01,0.10526315789473684
Universidade Federal do ABC,2013-01-01,0.10471491228070176
Universidade Federal do ABC,2014-01-01,0.136986301369863
Universidade Federal do ABC,2015-01-01,0.1547008547008547
Universidade Federal do ABC,2016-01-01,0.18181818181818182
Universidade Federal do ABC,2017-01-01,0.20689655172413793
"Universidade Federal Rural do
Semi-Árido",2007-01-01,0
"Universidade Federal Rural do
Semi-Árido",2008-01-01,0
"Universidade Federal Rural do
Semi-Árido",2009-01-01,0
"Universidade Federal Rural do
Semi-Árido",2010-01-01,0
"Universidade Federal Rural do
Semi-Árido",2011-01-01,0
"Universidade Federal Rural do
Semi-Árido",2012-01-01,0
"Universidade Federal Rural do
Semi-Árido",2013-01-01,0.058823529411764705
"Universidade Federal Rural do
Semi-Árido",2014-01-01,0.07142857142857142
"Universidade Federal Rural do
Semi-Árido",2015-01-01,0.1111111111111111
"Universidade Federal Rural do
Semi-Árido",2016-01-01,0.1111111111111111
"Universidade Federal Rural do
Semi-Árido",2017-01-01,0.13333333333333333
University of Brasília,2007-01-01,0.03571428571428571
University of Brasília,2008-01-01,0.05555555555555555
University of Brasília,2009-01-01,0.05555555555555555
University of Brasília,2010-01-01,0.0625
University of Brasília,2011-01-01,0.07142857142857142
